pulsd_title,pulsd_price,pulsd_url,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary
$85 4 Course Dinner for 2 & Wines/Beers,85,pulsd.com/new-york/promotions/cka-ka-qellue-dinner-restaurant-nyc,4.8,1642,Cka Ka Qellue,"118 E 31st Street, New York, NY 10016","People say this Mediterranean restaurant serves delicious Albanian food, including qebapa, qofte, and a mixed grill platter, as well as fresh bread and dips like ajvar and taratore. They highlight the authentic flavors, cozy atmosphere, and attentive service. They also like the historical decor and the option to try traditional Albanian dishes like tave kosi and fli."
"$79 3Crs Sushi Dinner For 2 & Cocktails, Wine",79,pulsd.com/new-york/promotions/sushi-saint-dinner-restaurant-nyc,4.8,75,Sushi Saint,"11-01 43rd Avenue, Long Island City, NY 11101","People say this sushi restaurant serves delicious and creative hand rolls, with the salmon, hamachi, and crab being particularly popular. They highlight the generous portions, fresh ingredients, and subtle flavors that evoke memories. They also like the attentive service and intimate dining experience."
$79 3 Course Dinner For 2 w Sangria Pitcher,79,pulsd.com/new-york/promotions/jose-luis-nyc-dinner-restaurant,4.8,684,Jose Luis Mediterranean Cuisine,"186 Avenue B, New York, NY 10009","People say this Mediterranean restaurant serves delicious paella, tapas, and grilled octopus. They highlight the great happy hour deals, strong drinks, and lively patio. They also like the friendly and welcoming service."
$65 3Crs Dinner For Two Cocktails/Wine/Beer,65,pulsd.com/new-york/promotions/norimen-dinner-restaurant-nyc,4.8,54,Norimen,"24 Elizabeth Street, New York, NY 10013","People say this Korean restaurant serves delicious tteok-galbi, donkatsu, and Korean fried chicken, along with fresh and healthy side dishes. They highlight the generous portions, reasonable prices, and the authentic, intimate, and modern atmosphere. They also like the friendly, attentive, and professional service."
$59 2 Course Hot Pot Dinner For 2 + Cocktails,59,pulsd.com/new-york/promotions/mala-hot-pot-dinner-restaurant-nyc,4.8,496,Mala Hot Pot,"35 W 36th Street, New York, NY 10018","People say this hot pot restaurant offers fresh ingredients, a variety of meats, and flavorful broths, including a spicy mala broth. They highlight the reasonable prices and clean, modern atmosphere. They also like the attentive and helpful service."
"$59 3Crs Dinner For 2 w Wine Bottle,Cocktails",59,pulsd.com/new-york/promotions/chez-messy-dinner-restaurant-nyc,4.8,240,Chez Messy,"5 Edward M Morgan Place, New York, NY 10032","People say this cocktail bar offers delicious tapas, fresh cocktails, and a standout bone marrow dish. They highlight the cozy, intimate vibe, and the excellent live music. They also like the attentive and friendly service."
"$49 10-Cocktail Brunch For Two, West Village",49,pulsd.com/new-york/promotions/ferdi-brunch-restaurant-nyc,4.8,341,Ferdi,"15 7th Avenue South, New York, NY 10014","People say this Italian restaurant serves delicious veal, pasta, and seafood dishes, as well as tasty desserts and cocktails. They highlight the reasonable prices, especially the prix fixe menu, and the cozy, romantic atmosphere. They also like the friendly and welcoming staff, and the attentive service."
$49: 3 Course Dinner For Two & Wine Bottle,49,pulsd.com/new-york/promotions/barkada-social-club-dinner-restaurant-nyc,4.8,75,Barkada Social Club,"33-05 Broadway, Astoria, NY 11106","People say this restaurant serves delicious Filipino fusion cuisine, including dynamite, kare kare, and flan. They highlight the great drinks, fun karaoke, and lively atmosphere. They also like the attentive and friendly service."
$49 SoHo Cocktail Brunch For Two,49,pulsd.com/new-york/promotions/lindens-arlo-soho-cocktail-brunch-nyc,4.8,866,Lindens,"2 Renwick Street, New York, NY 10013","People say this restaurant offers delicious dishes such as branzino, half chicken, and butternut squash ravioli. They highlight the fresh ingredients, flavorful combinations, and generous portions. They also like the attentive and friendly service, and the fun and lively atmosphere."
$49 Cocktail Brunch For Two In Murray Hill,49,pulsd.com/new-york/promotions/leslie-cocktail-brunch-restaurant-nyc,4.8,25,Leslie,"514 3rd Ave, New York, NY 10016","People say this restaurant serves delicious, elevated comfort food, including deviled eggs, smash burgers, and chicken piccata. They highlight the cozy and blissful atmosphere, and the elegant presentation of the dishes. They also like the friendly and attentive service."
$49 For A 2 Course Bottomless Brunch For Two,49,pulsd.com/new-york/promotions/chez-messy-bottomless-brunch-restaurant-nyc,4.8,240,Chez Messy,"5 Edward M Morgan Place, New York, NY 10032","People say this cocktail bar offers delicious tapas, fresh cocktails, and a standout bone marrow dish. They highlight the cozy, intimate vibe, and the excellent live music. They also like the attentive and friendly service."
"$49: 3 Course Dinner For Two w Wines, Beers",49,pulsd.com/new-york/promotions/tipsy-shanghai-east-village-dinner-restaurant-nyc,4.8,888,Tipsy Shanghai,"104 2nd Avenue, New York, NY 10003","People say this Chinese restaurant serves delicious and authentic Shanghainese food, including soup dumplings, pan-fried pork buns, and Wuxi pork ribs. They highlight the reasonable prices, cozy and vibey atmosphere, and quick service. They also like the friendly and attentive staff."
"$49 90 Min Bottomless Brunch for Two, Astoria",49,pulsd.com/new-york/promotions/porta-23-bottomless-brunch-restaurant-nyc,4.8,154,Porta 23,"29-17 23rd Avenue, Queens, NY 11105","People say this restaurant serves delicious smash burgers, chicken pilaf, and yucca fritters. They highlight the great cocktails, especially the caipirinha, and the tasty flan. They also like the attentive service and friendly staff."
$39: 90 Minute Bottomless Brunch For Two,39,pulsd.com/new-york/promotions/barkada-social-club-bottomless-brunch-restaurant-nyc,4.8,75,Barkada Social Club,"33-05 Broadway, Astoria, NY 11106","People say this restaurant serves delicious Filipino fusion cuisine, including dynamite, kare kare, and flan. They highlight the great drinks, fun karaoke, and lively atmosphere. They also like the attentive and friendly service."
"$39 Cocktail Brunch For Two, East Village",39,pulsd.com/new-york/promotions/house-of-pasta-cocktail-brunch-restaurant-nyc,4.8,329,House of Pasta,"511 E 12th Street, New York, NY 10009","Diners say this Italian restaurant serves up delicious mushroom lasagna, rigatoni bolognese, and fresh pasta, and they praise the cozy and inviting atmosphere. They also highlight the friendly and attentive service, and many appreciate the reasonable prices."
$29 For A 3 Course Dinner Or Brunch For Two,29,pulsd.com/new-york/promotions/hi-sunny-dinner-restaurant-nyc,4.8,442,Hi Sunny,"342 7th Avenue, New York, NY 10001","People say this dim sum restaurant offers a variety of delicious dishes, including soup dumplings, noodles, and sandwiches. They highlight the affordable prices and cozy, cute atmosphere. They also like the friendly and attentive service."
$19 Top Shelf Distillery Tour & Tasting,19,pulsd.com/new-york/promotions/kings-county-distillery-top-shelf-whiskey-tasting-tour-nyc,4.8,378,Kings County Distillery,"299 Sands Street, Brooklyn, NY 11205",
20Crs Omakase w 2Hrs Bottomless Sake For Two,,pulsd.com/new-york/promotions/kiwami-omakase-dinner-restaurant-nyc,4.7,85,Kiwami,"141 Bridge Park Drive, Brooklyn, NY 11201","People say this Japanese restaurant offers delicious omakase and fresh, high-quality sushi. They highlight the beautiful interior, authentic atmosphere, and attentive service. They also like the ocean view and the chef's passion."
"$129 Champagne Afternoon Tea For Two, Tribeca",129,pulsd.com/new-york/promotions/warren-street-hotel-nyc-afternoon-tea,4.7,59,Warren Street Hotel,"86 Warren Street, New York, NY 10007","People say this hotel offers gorgeous rooms with exquisite decor and attention to detail. They highlight the luxurious and inviting atmosphere, and the quiet comfort of the rooms. They also like the helpful and attentive staff."
"$99 3 Course Dinner For 2 & Cocktails, Wines",99,pulsd.com/new-york/promotions/nar-restaurant-dinner-nyc,4.7,587,Nar Restaurant,"34 E 20th Street, New York, NY 10003","People say this Turkish restaurant serves delicious and authentic dishes, including kebabs, manti, and mezze. They highlight the romantic and elegant atmosphere, and the attentive and friendly service. They also like the stylish presentation of the food and the excellent cocktails."
$89 2 Course Dinner For 2 w Cocktails & Shots,89,pulsd.com/new-york/promotions/wonderland-dinner-restaurant-nyc,4.7,331,Wonderland,"96 2nd Avenue, New York, NY 10003","People say this Asian fusion restaurant offers creative drinks with exciting presentations, and delicious truffle fries and chicken sliders. They highlight the magical and whimsical atmosphere, and the fun, unique experience with a magic show. They also like the friendly and attentive staff."
$69 3 Crs Dinner For 2 & Wine/Cocktails,69,pulsd.com/new-york/promotions/amor-loco-dinner-nyc,4.7,3673,Amor Loco,"134 W 46th Street, New York, NY 10036","People say this Mexican restaurant serves delicious octopus tacos, birria tacos, and surf and turf burritos. They highlight the fun, lively atmosphere, and the great cocktails, especially the margaritas and palomas. They also like the attentive and friendly staff."
$69: 3 Crs Dinner + Cocktails + Comedy Show,69,pulsd.com/new-york/promotions/ways-and-means-dinner-restaurant-comedy-show-nyc--2,4.7,86,Ways & Means,"167 Bleecker Street, New York, NY, 10012","People say this restaurant offers a great bottomless brunch with a variety of options, as well as good margaritas and mimosas. They highlight the affordable prices and generous portions. They also like the chill vibe and friendly staff."
"$59 3Crs Dinner For 2 & Cocktails, Wines",59,pulsd.com/new-york/promotions/good-thanks-dinner-restaurant-nyc,4.7,318,Good Thanks,"374 Graham Avenue, Brooklyn, NY 11211","People say this Australian restaurant serves delicious avocado toast, banana bread, and shrimp burgers. They highlight the generous portions, great happy hour deals, and cozy, welcoming atmosphere. They also like the friendly and attentive service."
$59 Fiesta Bottomless Brunch For Two,59,pulsd.com/new-york/promotions/amor-loco-bottomless-bunch-nyc,4.7,3673,Amor Loco,"134 W 46th Street, New York, NY 10036","People say this Mexican restaurant serves delicious octopus tacos, birria tacos, and surf and turf burritos. They highlight the fun, lively atmosphere, and the great cocktails, especially the margaritas and palomas. They also like the attentive and friendly staff."
$59: 90 Minute Bottomless Brunch For Two,59,pulsd.com/new-york/promotions/charm-restaurant-bottomless-brunch-nyc,4.7,3453,Charm Restaurant,"448 Dean Street, Brooklyn, NY 11217","People say this Caribbean restaurant serves delicious guava wings, jerk lamb, and Rasta pasta. They highlight the fun, energetic vibe, and the attentive, helpful staff. They also like the creative cocktails and the playlist."
$59 NY Times-Praised Cocktail Brunch For Two,59,pulsd.com/new-york/promotions/nar-restaurant-cocktail-brunch-nyc,4.7,587,Nar Restaurant,"34 E 20th Street, New York, NY 10003","People say this Turkish restaurant offers delicious manti, grilled octopus, and a variety of kebabs, as well as homemade baklava ice cream and other desserts. They highlight the generous portions, authentic flavors, and the cozy, inviting atmosphere. They also like the friendly and attentive service."
$49 Distillery Jazz & Cocktail Brunch For Two,49,pulsd.com/new-york/promotions/great-jones-distilling-co-jazz-cocktail-brunch-nyc,4.7,667,Great Jones Distilling Co.,"686 Broadway, New York, NY 10012",
$49 French-Style Cocktail Brunch For Two,49,pulsd.com/new-york/promotions/les-vagabonds-cocktail-brunch-nyc,4.7,86,Les Vagabonds,"1070 1st Avenue, New York, NY 10022","People say this French restaurant serves excellent duck, steak, and escargot. They highlight the cozy and romantic atmosphere, and the attentive service. They also like that it's BYOB."
"$49 Dinner For Two & Wine Bottle, Flatiron",49,pulsd.com/new-york/promotions/john-devoys-dinner-restaurant-nyc,4.7,129,John Devoy's,"377 Park Avenue South, New York, NY 10016","People say this bar offers delicious oysters, brunch options, and cocktails. They highlight the great value, especially the $1 oyster special and happy hour deals, and the lively, fun atmosphere. They also like the friendly and attentive staff."
$49 For A 2 Hour Bottomless Brunch for Two,49,pulsd.com/new-york/promotions/sultan-mediterranean-cuisine-bottomless-brunch-restaurant-nyc,4.7,667,Sultan Mediterranean Cuisine,"791 Lexington Avenue, New York NY 10065","People say this Mediterranean restaurant serves delicious Turkish food, including kebabs, gyro, and kunefe. They highlight the fresh and flavorful dips, such as babaganoush and tzatziki, and the warm, fluffy bread. They also like the attentive and friendly service, and the cozy and inviting atmosphere."
$49 Upper East Side Bottomless Brunch For Two,49,pulsd.com/new-york/promotions/costa-bottomless-brunch-restaurant-nyc,4.7,43,Costa,"1300 Madison Avenue, New York, NY 10173","People say this Mediterranean restaurant serves delicious chickpea soup, dips, pistachio-crusted salmon, grilled shrimp fra diavola, and Mediterranean Bronzino. They highlight the cozy and warm atmosphere, and the friendly and attentive staff. They also like the quick service."
$49 Greenwich Village Bottomless Brunch For 2,49,pulsd.com/new-york/promotions/ways-and-means-bottomless-restaurant-greenwich-village-nyc,4.7,86,Ways & Means,"167 Bleecker Street, New York, NY, 10012","People say this restaurant offers a great bottomless brunch with a variety of options, as well as good margaritas and mimosas. They highlight the affordable prices and generous portions. They also like the chill vibe and friendly staff."
"$49 AYCE & Bottomless Dinner For Two, Chelsea",49,pulsd.com/new-york/promotions/yasubee-authentic-ramen-ayce-dinner-restaurant-nyc,4.7,151,Yasubee Authentic Ramen,"253 W 26th Street, New York, NY 10001","People say this ramen restaurant serves delicious ramen, including spicy miso and shoyu, as well as pork katsu don, karaage, and gyoza. They highlight the fresh ingredients, generous portions, and affordable prices, and like the comfortable and welcoming atmosphere. They also mention the staff are friendly, attentive, and accommodating."
"$39 90min Bottomless Brunch For Two, Flatiron",39,pulsd.com/new-york/promotions/john-devoys-bottomless-brunch-restaurant-nyc,4.7,129,John Devoy's,"377 Park Avenue South, New York, NY 10016","People say this bar offers delicious oysters, brunch options, and cocktails. They highlight the great value, especially the $1 oyster special and happy hour deals, and the lively, fun atmosphere. They also like the friendly and attentive staff."
$39 For A Dinner For Two & A Bottle Of Wine,39,pulsd.com/new-york/promotions/tara-rose-nyc-dinner-restaurant,4.7,1101,Tara Rose,"384 3rd Avenue, New York, NY 10016","People say this cocktail bar offers fantastic food and drinks, including a variety of cocktails, a spice bag, and a sausage roll. They highlight the great happy hour deals, fun vibe, and the friendly and attentive staff. They also like the spacious layout, perfect for events and parties."
$39: 2 Course Dinner Or Brunch For Two w Sake,39,pulsd.com/new-york/promotions/kamisama-ramen-dinner-restaurant-east-village-nyc,4.7,312,Kamisama Ramen,"230 E 14th Street, New York, NY 10003","People say this ramen restaurant serves delicious Jiro ramen, spicy ramen, and tonkotsu ramen, with flavorful broth, chewy noodles, and tender chashu pork. They highlight the generous portions, reasonable prices, and cozy atmosphere. They also like the friendly and attentive service."
"$39 3 Course Dinner For Two & Drinks, Chelsea",39,pulsd.com/new-york/promotions/yasubee-authentic-ramen-dinner-restaurant-nyc,4.7,151,Yasubee Authentic Ramen,"253 W 26th Street, New York, NY 10001","People say this ramen restaurant serves delicious ramen, including spicy miso and shoyu, as well as pork katsu don, karaage, and gyoza. They highlight the fresh ingredients, generous portions, and affordable prices, and like the comfortable and welcoming atmosphere. They also mention the staff are friendly, attentive, and accommodating."
$29 Dinner For Two With Wines & Beers,29,pulsd.com/new-york/promotions/moustache-dinner-nyc,4.7,788,Moustache,"29 7th Avenue South, New York, NY 10014","People say this restaurant serves delicious Lebanese food, including babaganoush, falafel, kebabs, and pitza. They highlight the fresh pita bread, flavorful dips like muhammara and labneh, and the cozy, welcoming atmosphere. They also like the friendly and attentive service."
43% Off Chocolate Bar Making Classes,,pulsd.com/new-york/promotions/raaka-chocolate-bar-making-classes-nyc,4.6,187,Raaka Chocolate,"64 Seabring Street, Brooklyn, NY 11231","People say this chocolate shop offers unique and delicious chocolate, and a variety of interesting and fun classes. They highlight the educational and engaging bean-to-bar chocolate making class, and the helpful staff. They also like the fair trade, single-origin chocolate with no fillers or garbage ingredients."
43% Off Hand-Rolled Truffle Making Classes,,pulsd.com/new-york/promotions/raaka-chocolate-truffle-making-classes-nyc,4.6,187,Raaka Chocolate,"64 Seabring Street, Brooklyn, NY 11231","People say this chocolate shop offers unique and delicious chocolate, and a variety of interesting and fun classes. They highlight the educational and engaging bean-to-bar chocolate making class, and the helpful staff. They also like the fair trade, single-origin chocolate with no fillers or garbage ingredients."
College Football Playoff Party,,pulsd.com/pulses/61313,4.6,1273,SPiN Flatiron,"48 East 23rd Street, New York, NY","People say this restaurant offers delicious steak, appetizers, and cookies, and is a great place for a fun gathering with drinks, food, and music. They highlight the spacious layout, the availability of ping pong and other games, and the reasonable prices. They also like the friendly and accommodating staff."
Murray’s National Cheese Lover's Event,,pulsd.com/pulses/61316,4.6,1419,Murray's Cheese,"254 Bleecker Street, New York, NY 10014","People say this cheese shop offers a diverse, fresh, and delicious selection of cheeses and accompaniments. They highlight the fair prices and the fun, relaxed vibe, especially during events like cheese-making classes. They also like the knowledgeable and helpful staff."
$149 16Crs Omakase Dinner For Two w Wine/Beer,149,pulsd.com/new-york/promotions/sushi-masu-omakase-dinner-restaurant-nyc,4.6,129,Sushi Masu,"286 Columbus Avenue, New York, NY 10023","People say this sushi restaurant offers a delicious omakase with fresh, high-quality fish and unique flavors. They highlight the reasonable price for the number of courses and the authentic, unpretentious atmosphere. They also like the attentive and welcoming service."
$89 3 Crs Omakase Dinner For 2 + Wines,89,pulsd.com/new-york/promotions/zutto-nolita-omakase-dinner-restaurant-nyc,4.6,807,Zutto Nolita,"384 Broome Street, New York, NY 10013","People say this Japanese restaurant serves delicious tonkatsu ramen, fresh sushi, and flavorful appetizers like karaage and pork belly buns. They highlight the cozy and vibrant atmosphere, and the fast service. They also like the friendly and attentive staff."
$89 Omakase Sushi Dinner For 2 w Sake Carafe,89,pulsd.com/new-york/promotions/suteishi-dinner-restaurant-nyc,4.6,706,SUteiShi,"24 Peck Slip, New York, NY 10038","People say this Japanese restaurant offers fresh and tasty sushi and sashimi, with plenty of yellowtail during restaurant week. They highlight the omakase and sashimi are prepared well, and the outdoor eating experience is lovely. They also like the friendly service and warm, quiet atmosphere."
"$69 3Crs Dinner For 2 & Cocktails, Wine, Beer",69,pulsd.com/new-york/promotions/javitri-dinner-restaurant-nyc,4.6,244,Javitri,"132 East 61st Street , New York, NY 10065","People say this Indian restaurant serves delicious butter chicken, chicken biryani, and jackfruit biryani. They highlight the authentic flavors, generous portions, and reasonable prices. They also like the cozy and elegant atmosphere, and the friendly and attentive staff."
$65 3Crs Dinner For 2 & Cocktails/Wines,65,pulsd.com/new-york/promotions/public-house-at-merrion-row-hotel-dinner-restaurant-nyc,4.6,266,Public House At Merrion Row Hotel,"119 W 45th Street, New York, NY 10036","People say this hotel offers clean and comfortable rooms, and a delicious breakfast. They highlight the convenient location near Times Square, and the friendly and helpful staff. They also like the quiet and sheltered atmosphere, despite the bustling location."
$59 3 Crs Dinner For 2 & Cocktails/Beers,59,pulsd.com/new-york/promotions/mayahuel-dinner-restaurant-nyc,4.6,538,Mayahuel,"3207 34th Avenue, Queens, NY 11106","People say this Mexican restaurant serves delicious tacos, carne asada, and tres leches cake. They highlight the fresh guacamole, flavorful dishes, and authentic taste. They also like the cozy and welcoming atmosphere, and the friendly and attentive staff."
"$59 90 Minute Bottomless Brunch For 2, Nolita",59,pulsd.com/new-york/promotions/balzem-nolita-bottomless-brunch-restaurant-nyc,4.6,1345,Balzem,"202 Mott Street, New York, NY 10012","People say this Mediterranean restaurant serves delicious grilled skewers, ceviche, and manti dumplings. They highlight the fun, lively atmosphere and the reasonable prices. They also like the attentive and friendly service."
"$59: 3 Crs Dinner For 2 with Wines, W Village",59,pulsd.com/new-york/promotions/oscars-place-dinner-restaurant-nyc,4.6,357,Oscar's Place,"466 Hudson Street , New York, NY 10014","People say this British restaurant serves delicious English breakfast, burgers, fish and chips, and beef stew. They highlight the cozy and chill atmosphere, and the attentive and efficient service. They also like the reasonable prices and generous portions."
"$59 3Hr Open Bar & Buffet Food Party, Chelsea",59,pulsd.com/new-york/promotions/dickson-s-farmstand-offally-good-food-chelsea-market-nyc,4.6,51134,Chelsea Market,"75 9th Avenue, New York, NY","People say this market offers a wide variety of food options, including lobster rolls, tacos, sushi, and gelato, as well as shops selling clothing, gifts, and souvenirs. They highlight the lively and vibrant atmosphere, and the unique, industrial-chic vibe. They also like the friendly and helpful staff."
$49 Dinner For 2 & Wine Bottle/Cocktails,49,pulsd.com/new-york/promotions/boss-tweeds-dinner-restaurant-tribeca-nyc,4.6,90,Boss Tweeds,"41 Murray Street, New York, NY 10007","People say this cocktail bar offers delicious sandwiches, filet mignon, and short ribs. They highlight the generous portions, the quality of the food, and the interesting cocktail menu. They also like the classy atmosphere and attentive service."
$49 Ice Cream Cocktail Mixology Classes,49,pulsd.com/new-york/promotions/tipsy-scoop-ice-cream-mixology-classes-nyc,4.6,362,Tipsy Scoop Brooklyn,"270 Metropolitan Avenue, Brooklyn, NY, 11211","Ice people say this ice cream shop serves up delicious boozy ice cream flights with flavors like Boozy Breakfast, Whiskey Dreams, and Mango Margarita Sorbet. They also highlight the friendly and helpful staff who offer samples and explain the origins of the business."
"$49 90Min Bottomless Brunch For Two, Astoria",49,pulsd.com/new-york/promotions/tootles-and-french-bottomless-brunch-restaurant-nyc,4.6,329,Tootles & French,"3615 Ditmars Boulevard , Astoria, NY 11105","People say this restaurant offers delicious dishes like roast chicken, chopped cheese sandwiches, and a charcuterie board, as well as a diverse wine selection and creative cocktails. They highlight the friendly staff, the cozy and inviting atmosphere, and the fun events like live music and wine tastings. They also like the attentive and gracious service."
$49 3 Hour Open Bar + Buffet Super Bowl Party,49,pulsd.com/new-york/promotions/spin-midtown-super-bowl-2026-open-bar-buffet-party-nyc,4.6,124,SPiN Midtown,"1626 Broadway, New York, NY 10019","People say this sports bar offers a fun experience with ping pong, giant Jenga, and other games, as well as a full-service bar and a variety of food options. They highlight the spacious layout, comfortable seating, and the lively, welcoming atmosphere. They also like the friendly and attentive staff."
$49 3 Hour Open Bar + Buffet Super Bowl Party,49,pulsd.com/new-york/promotions/spin-flatiron-open-bar-buffet-super-bowl-lx-party-nyc,4.6,1273,SPiN Flatiron,"48 East 23rd Street, New York, NY","People say this restaurant offers delicious steak, appetizers, and cookies, and is a great place for a fun gathering with drinks, food, and music. They highlight the spacious layout, the availability of ping pong and other games, and the reasonable prices. They also like the friendly and accommodating staff."
"$48 Afternoon High Tea For Two, Tribeca",48,pulsd.com/new-york/promotions/cafe-atelier-afternoon-high-tea-tribeca-nyc,4.6,230,Cafe Atelier,"112 Hudson Street, New York, NY 10013","People say this coffee shop offers delicious coffee, matcha lattes, and croissants. They highlight the charming floral ambiance and the unique, creative drink menu. They also like the friendly staff."
"$39 Boozy Brunch For 2, West Village",39,pulsd.com/new-york/promotions/oscars-place-cocktail-brunch-restaurant-nyc,4.6,357,Oscar's Place,"466 Hudson Street , New York, NY 10014","People say this British restaurant serves delicious English breakfast, burgers, fish and chips, and beef stew. They highlight the cozy and chill atmosphere, and the attentive and efficient service. They also like the reasonable prices and generous portions."
$39 Dinner For Two With Cocktails/Wines,39,pulsd.com/new-york/promotions/the-laurels-dinner-restaurant-gramercy-nyc,4.6,298,The Laurels,"231 2nd Avenue, New York, NY 10003","People say this bar offers a delicious brunch with dishes like biscuits and gravy, and bottomless electrolyte mimosas. They highlight the fun and cozy atmosphere, and the friendly and accommodating staff. They also like the quick service and the availability of discounts and deals."
"$39 Dinner For Two & Wine Bottle, DUMBO",39,pulsd.com/new-york/promotions/em-vietnamese-bistro-dinner-restaurant-nyc,4.6,907,Em Vietnamese Bistro,"57 Front Street, Brooklyn, NY 11201","Diners say this Vietnamese restaurant serves up delicious spring rolls, chicken wings, and beef pho. They also highlight the friendly and attentive staff, and the cozy and inviting atmosphere.

Some reviews mention the service can be indifferent."
$35 Wine Bottle & Cheese Experience For 2,35,pulsd.com/new-york/promotions/cafe-atelier-wine-cheese-experience-nyc,4.6,230,Cafe Atelier,"112 Hudson Street, New York, NY 10013","People say this coffee shop offers delicious coffee, matcha lattes, and croissants. They highlight the charming floral ambiance and the unique, creative drink menu. They also like the friendly staff."
$29 Tix: 2 Hour Cabernet Franc Wine Festival,29,pulsd.com/new-york/promotions/the-cab-franc-forward-new-york-wine-tasting-nyc,4.6,158,Prince George Ballroom,"15 East 27th Street, New York, NY",
