pulsd_title,pulsd_price,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary,pulsd_url
$29 For A 3 Course Dinner Or Brunch For Two,29,4.8,442,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJDXAddMlZwokRzNN6hu7bENc"", ""Hi Sunny"")","342 7th Avenue, New York, NY 10001","People say this dim sum restaurant offers a variety of delicious dishes, including soup dumplings, noodles, and sandwiches. They highlight the affordable prices and cozy, cute atmosphere. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/hi-sunny-dinner-restaurant-nyc
$59 Fiesta Bottomless Brunch For Two,59,4.7,3673,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ3ej3nFVYwokRzAPIjwtNjg4"", ""Amor Loco"")","134 W 46th Street, New York, NY 10036","People say this Mexican restaurant serves delicious octopus tacos, birria tacos, and surf and turf burritos. They highlight the fun, lively atmosphere, and the great cocktails, especially the margaritas and palomas. They also like the attentive and friendly staff.",pulsd.com/new-york/promotions/amor-loco-bottomless-bunch-nyc
$59: 90 Minute Bottomless Brunch For Two,59,4.7,3453,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJgRd23gFbwokRFaACKwWIF7E"", ""Charm Restaurant"")","448 Dean Street, Brooklyn, NY 11217","People say this Caribbean restaurant serves delicious guava wings, jerk lamb, and Rasta pasta. They highlight the fun, energetic vibe, and the attentive, helpful staff. They also like the creative cocktails and the playlist.",pulsd.com/new-york/promotions/charm-restaurant-bottomless-brunch-nyc
$59 NY Times-Praised Cocktail Brunch For Two,59,4.7,587,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ8R5wA4RZwokRVizBFaqM9EA"", ""Nar Restaurant"")","34 E 20th Street, New York, NY 10003","People say this Turkish restaurant offers delicious manti, grilled octopus, and a variety of kebabs, as well as homemade baklava ice cream and other desserts. They highlight the generous portions, authentic flavors, and the cozy, inviting atmosphere. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/nar-restaurant-cocktail-brunch-nyc
$49 Distillery Jazz & Cocktail Brunch For Two,49,4.7,667,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJB6oErCtZwokRb93Ge4wsE1E"", ""Great Jones Distilling Co."")","686 Broadway, New York, NY 10012",,pulsd.com/new-york/promotions/great-jones-distilling-co-jazz-cocktail-brunch-nyc
$49 Upper East Side Bottomless Brunch For Two,49,4.7,43,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJVVW2zqNYwokR5qwzWHkaPRI"", ""Costa"")","1300 Madison Avenue, New York, NY 10173","People say this Mediterranean restaurant serves delicious chickpea soup, dips, pistachio-crusted salmon, grilled shrimp fra diavola, and Mediterranean Bronzino. They highlight the cozy and warm atmosphere, and the friendly and attentive staff. They also like the quick service.",pulsd.com/new-york/promotions/costa-bottomless-brunch-restaurant-nyc
$49 Greenwich Village Bottomless Brunch For 2,49,4.7,86,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJHzLX85FZwokRxM9KZpgq6Qk"", ""Ways & Means"")","167 Bleecker Street, New York, NY, 10012","People say this restaurant offers a great bottomless brunch with a variety of options, as well as good margaritas and mimosas. They highlight the affordable prices and generous portions. They also like the chill vibe and friendly staff.",pulsd.com/new-york/promotions/ways-and-means-bottomless-restaurant-greenwich-village-nyc
$49 French-Style Cocktail Brunch For Two,49,4.7,86,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ9Ys7ITRZwokRZNYotQuTh8w"", ""Les Vagabonds"")","1070 1st Avenue, New York, NY 10022","People say this French restaurant serves excellent duck, steak, and escargot. They highlight the cozy and romantic atmosphere, and the attentive service. They also like that it's BYOB.",pulsd.com/new-york/promotions/les-vagabonds-cocktail-brunch-nyc
$49 For A 2 Hour Bottomless Brunch for Two,49,4.7,667,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJwdUZEpJZwokRzXGd9L-ENg4"", ""Sultan Mediterranean Cuisine"")","791 Lexington Avenue, New York NY 10065","People say this Mediterranean restaurant serves delicious Turkish food, including kebabs, gyro, and kunefe. They highlight the fresh and flavorful dips, such as babaganoush and tzatziki, and the warm, fluffy bread. They also like the attentive and friendly service, and the cozy and inviting atmosphere.",pulsd.com/new-york/promotions/sultan-mediterranean-cuisine-bottomless-brunch-restaurant-nyc
"$39 90min Bottomless Brunch For Two, Flatiron",39,4.7,129,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ8UqoBQBZwokR4_OGLJj9VPo"", ""John Devoy's"")","377 Park Avenue South, New York, NY 10016","People say this bar offers delicious oysters, brunch options, and cocktails. They highlight the great value, especially the $1 oyster special and happy hour deals, and the lively, fun atmosphere. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/john-devoys-bottomless-brunch-restaurant-nyc
$39: 2 Course Dinner Or Brunch For Two w Sake,39,4.7,312,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ4TY4of5ZwokR_cF3P9pBENw"", ""Kamisama Ramen"")","230 E 14th Street, New York, NY 10003","People say this ramen restaurant serves delicious Jiro ramen, spicy ramen, and tonkotsu ramen, with flavorful broth, chewy noodles, and tender chashu pork. They highlight the generous portions, reasonable prices, and cozy atmosphere. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/kamisama-ramen-dinner-restaurant-east-village-nyc
"$59 90 Minute Bottomless Brunch For 2, Nolita",59,4.6,1345,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJa128pIhZwokRnoPKJguYBCA"", ""Balzem"")","202 Mott Street, New York, NY 10012","People say this Mediterranean restaurant serves delicious grilled skewers, ceviche, and manti dumplings. They highlight the fun, lively atmosphere and the reasonable prices. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/balzem-nolita-bottomless-brunch-restaurant-nyc
"$49 90Min Bottomless Brunch For Two, Astoria",49,4.6,329,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJDxoRVI5fwokRe7CFVS6EWCI"", ""Tootles & French"")","3615 Ditmars Boulevard , Astoria, NY 11105","People say this restaurant offers delicious dishes like roast chicken, chopped cheese sandwiches, and a charcuterie board, as well as a diverse wine selection and creative cocktails. They highlight the friendly staff, the cozy and inviting atmosphere, and the fun events like live music and wine tastings. They also like the attentive and gracious service.",pulsd.com/new-york/promotions/tootles-and-french-bottomless-brunch-restaurant-nyc
"$39 Boozy Brunch For 2, West Village",39,4.6,357,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJYYVGLZNZwokRJGxEfwiqq4A"", ""Oscar's Place"")","466 Hudson Street , New York, NY 10014","People say this British restaurant serves delicious English breakfast, burgers, fish and chips, and beef stew. They highlight the cozy and chill atmosphere, and the attentive and efficient service. They also like the reasonable prices and generous portions.",pulsd.com/new-york/promotions/oscars-place-cocktail-brunch-restaurant-nyc
54% Off A 90 Minute Bottomless Brunch For Two,,4.5,1526,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJQV4litZbwokRPc2qPtWjFsw"", ""Skinos Mediterranean"")","123 Washington Street, New York, NY 10006","People say this Greek restaurant serves delicious seafood pasta, lamb chops, and duck pasta, as well as appetizers like shrimp and moussaka croquettes. They highlight the vibrant, flowery, and clean atmosphere, perfect for celebrations, and the fun, lively vibe with a live DJ and belly dancer. They also like the attentive, friendly, and generous service, with staff constantly checking in and making guests feel welcome.",pulsd.com/new-york/promotions/skinos-mediterranean-bottomless-brunch-nyc
$59 Michelin-Praised Cocktail Brunch For Two,59,4.5,654,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJZ7jMnT5ZwokRr1LSqkFSdLk"", ""Le Fanfare"")","1103 Manhattan Avenue, Brooklyn, NY 11222","People say this Italian restaurant serves fresh, tasty, and amazing food, including house-made pasta, and offers a variety of dishes. They highlight the generous portions, the delicious bread and spreads, and the attentive and responsive staff. They also like the welcoming and warm atmosphere, and the attentive, caring, and professional service.",pulsd.com/new-york/promotions/le-fanfare-cocktail-brunch-restaurant-nyc
"$49 Bottomless Brunch for Two, West Village",49,4.5,1209,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJW_42IpZZwokRIUPgfzLhxCg"", ""Via 13"")","140 West 13th Street, New York, NY 10011","People say this Italian restaurant serves delicious grilled octopus, hanger steak, and tiramisu. They highlight the great brunch deal, fun and creative family-style brunch, and the sophisticated atmosphere. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/via-13-bottomless-brunch-restaurant-west-village-nyc
$49 3 Course Bottomless Brunch For Two,49,4.5,1989,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJCcDXV4hZwokRhHninUj94_o"", ""Lunella"")","173 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves up delicious and authentic Italian food, including ravioli, spaghetti and meatballs, and fettuccine Alfredo. They also highlight the friendly and attentive service, and the charming and welcoming atmosphere.

Some reviews mention the staff can be impolite.",pulsd.com/new-york/promotions/lunella-bottomless-brunch-nyc
$39: 90 Minute Bottomless Brunch For Two,39,4.5,435,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJkb_VyABcwokRtZ1kyBrtV30"", ""Ange Noir"")","247 Varet Street, Brooklyn, NY 11206","People say this coffee shop serves delicious breakfast sandwiches, burritos, and crepes, as well as a variety of coffee and tea drinks. They highlight the reasonable prices, cozy and chill atmosphere, and the friendly and welcoming service. They also like the creative energy and the events hosted at the cafe.",pulsd.com/new-york/promotions/ange-noir-bottomless-brunch-restaurant-nyc
$39 90m 2 Course Bottomless Brunch For Two,39,4.5,682,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ8RjtPrhZwokRVZXEfLUKtM4"", ""Tia Pol"")","205 10th Avenue, New York, NY 10011","People say this Spanish restaurant serves flavorful tapas and delicious sangria. They highlight the warm and cozy atmosphere, perfect for a casual evening with good food and good company. They also like the friendly and accommodating staff.",pulsd.com/new-york/promotions/tia-pol-bottomless-brunch-restaurant-nyc
$39 Marvelous Cocktail Brunch For Two,39,4.5,958,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ5cyRrlFYwokRFTRhsMQzm-E"", ""Fusion HK"")","688 10th Avenue, New York, NY 10019","People say this bar and grill serves delicious ceviche, arroz chaufa, and tacos, and offers a variety of drinks, including margaritas and pisco sours. They highlight the generous portions, good value, and fun vibes with cactus margarita glasses and large drink options. They also like the friendly and attentive staff, and the excellent service.",pulsd.com/new-york/promotions/fusion-hk-hells-kitchen-brunch
"$39 For A Bottomless Brunch For Two, Midtown",39,4.5,1341,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJKTBsN1dYwokRVtIJyHOh84Y"", ""Bombay Grill House"")","764 9th Avenue, New York, NY 10019","People say this Indian restaurant serves delicious chicken tikka masala, naan, and lamb biryani. They highlight the reasonable prices and fun neighborhood. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/bombay-grill-house-bottomless-brunch-restaurant-nyc
$39 For A Luxurious Brunch For Two,39,4.5,493,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJFfd0TolYwokRNGGQO3ualC4"", ""Da Capo"")","322 Columbus Avenue, New York, NY 10023","People say this cocktail bar offers delicious cocktails, including the Big in Japan, and a salmon burger. They highlight the chill, dark, and intimate vibe, and the friendly and knowledgeable bartenders. They also like the attentive service.",pulsd.com/new-york/promotions/da-capo-brunch-restaurant-nyc
"$29 For A Bottomless Brunch For Two, Brooklyn",29,4.5,1168,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJXV940sNdwokR7Z56ISzYiiQ"", ""CZEN Restaurant"")","4410 Avenue H, Brooklyn, NY 11234","People say this Asian fusion restaurant serves delicious oxtail dumplings, sushi rolls, and jerk chicken with udon. They highlight the food is worth the price and the music creates a lively vibe. They also like the attentive and friendly staff.",pulsd.com/new-york/promotions/czen-restaurant-bottomless-brunch-nyc
$59 90m Bottomless Brunch For Two. NoMad,59,4.4,1192,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ60c5xqVZwokRv6aAYl8hT6s"", ""Bazar NoMad"")","31 W 26th Street, New York, NY 10010","People say this tapas restaurant serves delicious paella, bone marrow, and truffle fries. They also highlight the friendly staff, amazing drinks, and live music.

Other reviews mention the food can be salty.",pulsd.com/new-york/promotions/bazar-bottomless-brunch-nyc
$55 Spanish Style Bottomless Brunch For Two,55,4.4,1320,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJh-ZRBb9YwokRSMkUC8lETk4"", ""Pil Pil"")","265 E 78th Street, New York, NY 10075","People say this Spanish restaurant offers delicious tapas, including patatas bravas, calamari, and croquettes, as well as a popular unlimited brunch. They also highlight the reasonable prices, fun and artsy atmosphere, and friendly, attentive service.

Other reviews mention the sangria can be bland.",pulsd.com/new-york/promotions/pil-pil-bottomless-brunch-restaurant-nyc
"$49 Bottomless Brunch For Two, Williamsburg",49,4.4,262,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJB9j7w5JZwokRoGHDQhoKU20"", ""Casa Andrea"")","318 Grand Street , Brooklyn, NY 11211","People say this Peruvian restaurant serves delicious rotisserie chicken, choros a la chalaca, and tuna tartare. They also highlight the generous portions, great value, and fast service.

Some reviews mention the beans can be watery.",pulsd.com/new-york/promotions/casa-andrea-bottomless-brunch-nyc
$49 Gourmet 90 Min Bottomless Brunch For Two,49,4.4,1665,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJgWBWFaBZwokRfOWdBPY5Y0o"", ""The Stand"")","116 East 16th Street, New York, NY, 10003","People say this comedy club offers delicious pizza, drinks, and stand-up comedy shows. They also highlight the friendly staff, fun atmosphere, and good value, especially during happy hour.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/the-stand-bottomless-brunch-nyc
"$49 Bottomless Brunch For Two, G Village",49,4.4,989,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJVW-L45FZwokRjQ6Hizt0OdQ"", ""Madam Ji Ki Shaadi"")","154 Bleecker Street , New York, NY 10012","Diners say this Indian restaurant serves up delicious lamb burgers, Chole Bhature, and Pav Bhaji sliders, and they praise the bottomless brunch cocktails. They also highlight the attentive and friendly service, and the lively and enjoyable atmosphere with Bollywood music.

Some reviews mention the prices can be high.",pulsd.com/new-york/promotions/madam-ji-bottomless-brunch-nyc
"$45 Luxe Cocktail Brunch For 2, Midtown",45,4.4,619,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJr2lx0_xYwokR8TKjMpDfSKI"", ""Bistango At The Kimberly Hotel"")","145 East 50th Street, New York, NY 10022",,pulsd.com/new-york/promotions/bistango-cocktail-brunch-nyc
"$39 Bottomless Brunch For Two, Midtown",39,4.4,408,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJMT4J9YxZwokRdsL4E3FCm4o"", ""Jane Doe"")","12 West 44th St, New York, NY. 10036","People say this bar offers delicious oysters, inventive cocktails, and a variety of other dishes, including sliders, tacos, and lobster mac and cheese. They also highlight the great happy hour deals, reasonable prices, and charming, elegant atmosphere.

Other reviews mention the service can be slow.",pulsd.com/new-york/promotions/jane-doe-bottomless-brunch-nyc
$39 Glamorous Cocktail Brunch For Two In SoHo,39,4.4,84,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJl5_OCABZwokRkvjEfEkyuZo"", ""The Otter"")","58 Thompson Street , New York, NY 10012","People say this seafood restaurant serves delicious seafood platters, scallops, swordfish steak, and burgers. They highlight the fresh ingredients, complex flavors, and innovative dishes, as well as the cozy and stylish atmosphere. They also like the attentive and friendly service.",pulsd.com/new-york/promotions/the-otter-brunch-restaurant-soho-nyc
$39 For A 2 Hour Bottomless Brunch For Two,39,4.4,108,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJoQZ9QABZwokRAV-9s9mE0oA"", ""Au Bar 56"")","235 W 56th Street, New York, NY 10019","People say this restaurant offers delicious cocktails, including an espresso martini, and a variety of appetizers. They also highlight the intimate and cozy atmosphere, the live music, and the friendly and attentive service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/au-bar-56-bottomless-brunch-restaurant-nyc
$29 For A 2 Course Bottomless Brunch For Two,29,4.4,121,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJO-K7_39ZwokROvz-ULpMp34"", ""Mexiterranean Grill"")","1365 1st Avenue, New York, NY 10021",,pulsd.com/new-york/promotions/mexiterranean-grill-bottomless-brunch-restaurant-nyc
"$59 Bottomless Brunch For Two, NoMad",59,4.3,1173,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJafe8xpxZwokRMi8VezCpLWs"", ""Mamazul"")","1155 Broadway, New York, NY 10001","People say this Mexican restaurant offers delicious birria tacos, ceviche, and street corn. They also highlight the fun and vibrant atmosphere, and the attentive and friendly service.

Other reviews mention the portions can be small.",pulsd.com/new-york/promotions/mamazul-bottomless-brunch-restaurant-nyc
$49 Greenwich Village Bottomless Brunch For 2,49,4.3,645,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ06Eo6ZNZwokR_ngr5nAD7do"", ""Tio Pepe"")","168 West 4th Street, New York, NY 10014",,pulsd.com/new-york/promotions/tio-pepe-bottomless-brunch-restaurant-greenwich-village-nyc
"$49 Bottomless Brunch For Two, East Village",49,4.3,653,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ5dru_nVZwokRarWwk6cjQZk"", ""Ichibantei"")","100 3rd Avenue, New York, NY 10003","People say this Japanese restaurant serves delicious chicken katsu, niku udon, and tonkatsu. They also highlight the fair prices, great vibe, and friendly staff.

Other reviews mention the food can be inconsistent.",pulsd.com/new-york/promotions/ichibantei-bottomless-brunch-restaurant-nyc
$49 Upper East Side Cocktail Brunch For Two,49,4.3,549,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJB6L7g-9YwokRTm44C_ToKdw"", ""Amali"")","115 E 60th Street, New York, NY 10022","Diners say this Mediterranean restaurant serves up delicious grilled octopus, handmade pasta, and a notable cheeseburger. They also highlight the chic yet inviting atmosphere, impeccable wine list, and warm, attentive service.

Some reviews mention the gratuity can be automatically added to the bill.",pulsd.com/new-york/promotions/amali-cocktail-brunch-restaurant-nyc
"$49 2Hr Bottomless Brunch For 2, Williamsburg",49,4.3,194,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJPw_XFmNbwokRgp3j3Ku1ph8"", ""MamaSushi"")","391 Hooper Street, Brooklyn, NY 11211","People say this Asian fusion restaurant offers a wide selection of sushi rolls, and the drinks are visually appealing. They also highlight the friendly and attentive service, and the welcoming and fun vibes.

Other reviews mention the food can be disappointing.",pulsd.com/new-york/promotions/mamasushi-bottomless-brunch-restaurant-nyc
"$45 Cocktail Brunch For Two, UWS",45,4.3,1566,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJN2DMVolYwokRZ3RY3IbatuA"", ""Pappardella"")","316 Columbus Avenue, New York, NY","People say this Italian restaurant serves delicious lasagna, pizza, and veal, and offers a gluten-free menu. They also highlight the generous portions, reasonable prices, and friendly, attentive service.

Other reviews mention the wait can be long.",pulsd.com/new-york/promotions/pappardella-cocktail-brunch-restaurant-nyc
"$39 Bottomless Brunch For Two, UES",39,4.3,1136,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJdTrzacBYwokR6DHjw1ICQ7k"", ""A La Turka"")","1417 2nd Avenue, New York, NY 10021","People say this restaurant serves delicious Turkish food, including excellent mixed grills, lamb shanks, and Adana kebabs. They also highlight the beautiful and authentic atmosphere, and the attentive and friendly service.

Other reviews mention the portions can be small.",pulsd.com/new-york/promotions/a-la-turka-bottomless-brunch-restaurant-nyc
$39 Brunch For Two & Cocktail Trees & More,39,4.3,321,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJMZp8OMRbwokRj7Ky0oSz8RA"", ""Recreation"")","26 Ann Street, New York, NY 10038","People say this cocktail bar offers delicious drinks and a variety of shared bites. They also highlight the fun, cozy, and nostalgic vibe, and the attentive, welcoming, and charismatic service.

Other reviews mention the food portions can be small.",pulsd.com/new-york/promotions/recreation-cocktail-brunch-restaurant-nyc
"$29 2Crs Boozy Cocktail Brunch For 2, Hoboken",29,4.3,3188,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJq6o1fl9XwokRcJ2k4m-_g5k"", ""Madd Hatter"")","221 Washington Street, Hoboken, NJ 07030","People say this bar and grill offers delicious wings, mac and cheese, and brunch options, as well as great drink specials and screwdrivers. They also highlight the fun, lively atmosphere, perfect for watching football, and the friendly, attentive staff and bartenders.

Other reviews mention the drinks can be expensive.",pulsd.com/new-york/promotions/madd-hatter-cocktail-brunch-restaurant-nyc
$59 Rooftop Bottomless Brunch For Two,59,4.2,1594,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJ0Q7xqoBZwokRkrPoL2Es1X0"", ""Elsie Rooftop"")","1412 Broadway, 25th Floor, New York, NY 10018","People say this lounge offers amazing food and strong drinks. They also highlight the beautiful venue, great views, and fun atmosphere, especially during themed nights.

Some reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/elsie-rooftop-bottomless-brunch-restaurant-nyc
$49 For A 90 Minute Bottomless Brunch for Two,49,4.2,2545,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJG9u1qKtZwokR28mb77l_8Jc"", ""Lagos"")","727 7th Avenue, New York, NY 10019","Diners say this African restaurant serves up delicious suya, jollof rice, and plantains, and they praise the lively atmosphere with great music. They also highlight the friendly and attentive staff, and many recommend the brunch and happy hour.

Some reviews mention the music can be loud.",pulsd.com/new-york/promotions/lagos-bottomless-brunch-restaurant-nyc
"$49 Bottomless Brunch For Two, FiDi",49,4.2,1901,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJzyOU_BBawokRj4LQDcuFZkQ"", ""Clinton Hall FiDi"")","90 Washington Street, New York, NY 10006","People say this beer garden offers a wide selection of beers and delicious drinks. They also highlight the fun games, outdoor seating, and the accommodating and respectful staff.

Other reviews mention the food can be disappointing.",pulsd.com/new-york/promotions/clinton-hall-fidi-restaurant-bottomless-brunch-nyc
"$49 Bottomless Brunch For Two, Midtown",49,4.2,787,"=HYPERLINK(""https://www.google.com/maps/place/?q=place_id:ChIJm-vmZ5ZZwokR7AGwkewhZjY"", ""Clinton Hall 36th Street"")","16 W 36th Street, New York, NY 10018","People say this beer garden offers good drinks and a variety of beers. They also highlight the friendly and accommodating staff, and the spacious atmosphere suitable for large groups.

Other reviews mention the food can be mid.",pulsd.com/new-york/promotions/clinton-hall-36th-street-restaurant-bottomless-brunch-nyc
