pulsd_title,pulsd_price,google_rating,google_total_ratings,restaurant_name,pulsd_address,google_review_summary,pulsd_url
Murray’s National Cheese Lover's Event,,4.6,1419,Murray's Cheese,"254 Bleecker Street, New York, NY 10014","People say this cheese shop offers a diverse, fresh, and delicious selection of cheeses and accompaniments. They highlight the fair prices and the fun, relaxed vibe, especially during events like cheese-making classes. They also like the knowledgeable and helpful staff.",pulsd.com/pulses/61316
$149 16Crs Omakase Dinner For Two w Wine/Beer,149,4.6,129,Sushi Masu,"286 Columbus Avenue, New York, NY 10023","People say this sushi restaurant offers a delicious omakase with fresh, high-quality fish and unique flavors. They highlight the reasonable price for the number of courses and the authentic, unpretentious atmosphere. They also like the attentive and welcoming service.",pulsd.com/new-york/promotions/sushi-masu-omakase-dinner-restaurant-nyc
$89 3 Crs Omakase Dinner For 2 + Wines,89,4.6,807,Zutto Nolita,"384 Broome Street, New York, NY 10013","People say this Japanese restaurant serves delicious tonkatsu ramen, fresh sushi, and flavorful appetizers like karaage and pork belly buns. They highlight the cozy and vibrant atmosphere, and the fast service. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/zutto-nolita-omakase-dinner-restaurant-nyc
$89 Omakase Sushi Dinner For 2 w Sake Carafe,89,4.6,706,SUteiShi,"24 Peck Slip, New York, NY 10038","People say this Japanese restaurant offers fresh and tasty sushi and sashimi, with plenty of yellowtail during restaurant week. They highlight the omakase and sashimi are prepared well, and the outdoor eating experience is lovely. They also like the friendly service and warm, quiet atmosphere.",pulsd.com/new-york/promotions/suteishi-dinner-restaurant-nyc
"$69 3Crs Dinner For 2 & Cocktails, Wine, Beer",69,4.6,244,Javitri,"132 East 61st Street , New York, NY 10065","People say this Indian restaurant serves delicious butter chicken, chicken biryani, and jackfruit biryani. They highlight the authentic flavors, generous portions, and reasonable prices. They also like the cozy and elegant atmosphere, and the friendly and attentive staff.",pulsd.com/new-york/promotions/javitri-dinner-restaurant-nyc
$65 3Crs Dinner For 2 & Cocktails/Wines,65,4.6,266,Public House At Merrion Row Hotel,"119 W 45th Street, New York, NY 10036","People say this hotel offers clean and comfortable rooms, and a delicious breakfast. They highlight the convenient location near Times Square, and the friendly and helpful staff. They also like the quiet and sheltered atmosphere, despite the bustling location.",pulsd.com/new-york/promotions/public-house-at-merrion-row-hotel-dinner-restaurant-nyc
$59 3 Crs Dinner For 2 & Cocktails/Beers,59,4.6,538,Mayahuel,"3207 34th Avenue, Queens, NY 11106","People say this Mexican restaurant serves delicious tacos, carne asada, and tres leches cake. They highlight the fresh guacamole, flavorful dishes, and authentic taste. They also like the cozy and welcoming atmosphere, and the friendly and attentive staff.",pulsd.com/new-york/promotions/mayahuel-dinner-restaurant-nyc
"$59: 3 Crs Dinner For 2 with Wines, W Village",59,4.6,357,Oscar's Place,"466 Hudson Street , New York, NY 10014","People say this British restaurant serves delicious English breakfast, burgers, fish and chips, and beef stew. They highlight the cozy and chill atmosphere, and the attentive and efficient service. They also like the reasonable prices and generous portions.",pulsd.com/new-york/promotions/oscars-place-dinner-restaurant-nyc
"$59 3Hr Open Bar & Buffet Food Party, Chelsea",59,4.6,51134,Chelsea Market,"75 9th Avenue, New York, NY","People say this market offers a wide variety of food options, including lobster rolls, tacos, sushi, and gelato, as well as shops selling clothing, gifts, and souvenirs. They highlight the lively and vibrant atmosphere, and the unique, industrial-chic vibe. They also like the friendly and helpful staff.",pulsd.com/new-york/promotions/dickson-s-farmstand-offally-good-food-chelsea-market-nyc
$49 Dinner For 2 & Wine Bottle/Cocktails,49,4.6,90,Boss Tweeds,"41 Murray Street, New York, NY 10007","People say this cocktail bar offers delicious sandwiches, filet mignon, and short ribs. They highlight the generous portions, the quality of the food, and the interesting cocktail menu. They also like the classy atmosphere and attentive service.",pulsd.com/new-york/promotions/boss-tweeds-dinner-restaurant-tribeca-nyc
$49 Ice Cream Cocktail Mixology Classes,49,4.6,362,Tipsy Scoop Brooklyn,"270 Metropolitan Avenue, Brooklyn, NY, 11211","Ice people say this ice cream shop serves up delicious boozy ice cream flights with flavors like Boozy Breakfast, Whiskey Dreams, and Mango Margarita Sorbet. They also highlight the friendly and helpful staff who offer samples and explain the origins of the business.",pulsd.com/new-york/promotions/tipsy-scoop-ice-cream-mixology-classes-nyc
$49 3 Hour Open Bar + Buffet Super Bowl Party,49,4.6,124,SPiN Midtown,"1626 Broadway, New York, NY 10019","People say this sports bar offers a fun experience with ping pong, giant Jenga, and other games, as well as a full-service bar and a variety of food options. They highlight the spacious layout, comfortable seating, and the lively, welcoming atmosphere. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/spin-midtown-super-bowl-2026-open-bar-buffet-party-nyc
$49 3 Hour Open Bar + Buffet Super Bowl Party,49,4.6,1273,SPiN Flatiron,"48 East 23rd Street, New York, NY","People say this restaurant offers delicious steak, appetizers, and cookies, and is a great place for a fun gathering with drinks, food, and music. They highlight the spacious layout, the availability of ping pong and other games, and the reasonable prices. They also like the friendly and accommodating staff.",pulsd.com/new-york/promotions/spin-flatiron-open-bar-buffet-super-bowl-lx-party-nyc
"$48 Afternoon High Tea For Two, Tribeca",48,4.6,230,Cafe Atelier,"112 Hudson Street, New York, NY 10013","People say this coffee shop offers delicious coffee, matcha lattes, and croissants. They highlight the charming floral ambiance and the unique, creative drink menu. They also like the friendly staff.",pulsd.com/new-york/promotions/cafe-atelier-afternoon-high-tea-tribeca-nyc
$39 Dinner For Two With Cocktails/Wines,39,4.6,298,The Laurels,"231 2nd Avenue, New York, NY 10003","People say this bar offers a delicious brunch with dishes like biscuits and gravy, and bottomless electrolyte mimosas. They highlight the fun and cozy atmosphere, and the friendly and accommodating staff. They also like the quick service and the availability of discounts and deals.",pulsd.com/new-york/promotions/the-laurels-dinner-restaurant-gramercy-nyc
"$39 Dinner For Two & Wine Bottle, DUMBO",39,4.6,907,Em Vietnamese Bistro,"57 Front Street, Brooklyn, NY 11201","Diners say this Vietnamese restaurant serves up delicious spring rolls, chicken wings, and beef pho. They also highlight the friendly and attentive staff, and the cozy and inviting atmosphere.

Some reviews mention the service can be indifferent.",pulsd.com/new-york/promotions/em-vietnamese-bistro-dinner-restaurant-nyc
$35 Wine Bottle & Cheese Experience For 2,35,4.6,230,Cafe Atelier,"112 Hudson Street, New York, NY 10013","People say this coffee shop offers delicious coffee, matcha lattes, and croissants. They highlight the charming floral ambiance and the unique, creative drink menu. They also like the friendly staff.",pulsd.com/new-york/promotions/cafe-atelier-wine-cheese-experience-nyc
"$29 LES Dinner For 2 & Cocktails,Wines,Beers",29,4.6,231,The Mayfly,"269 E Houston Street, New York, NY 10002","People say this bar offers delicious food, including wings, truffle fries, and flatbreads, and a variety of cocktails, including a Last Word. They highlight the fun atmosphere, great deals, especially during happy hour, and the comfortable space. They also like the friendly and accommodating staff.",pulsd.com/new-york/promotions/the-mayfly-restaurant-dinner-lower-east-side-nyc
$29 Tix: 2 Hour Cabernet Franc Wine Festival,29,4.6,158,Prince George Ballroom,"15 East 27th Street, New York, NY",,pulsd.com/new-york/promotions/the-cab-franc-forward-new-york-wine-tasting-nyc
$29 Boozy Sundae Making Class,29,4.6,1662,Tipsy Scoop Manhattan,"217 E 26th Street, New York, NY 10010","Ice people say this ice cream shop offers unique flavors like bourbon, whiskey, and Mexican hot chocolate with tequila, alongside more traditional options like cherry cheesecake. They also highlight the friendly and helpful staff, and the massive portions.",pulsd.com/new-york/promotions/tipsy-scoop-boozy-ice-cream-sundae-decorating-classes-nyc
$25 2 Course Sushi Experience for Two,25,4.6,270,MakiMaki,"360 Lexington Avenue, New York, NY 10017","People say this sushi restaurant offers fresh hand rolls, maki, and a lunch special. They highlight the reasonable prices, convenient location, and clean, chic atmosphere. They also like the friendly and helpful staff, and the fast service.",pulsd.com/new-york/promotions/makimaki-sushi-nyc
6Crs Fine Dining Dinner Bus Tour Around NYC,,4.5,61,Bustronome,"988 8th Avenue, New York, NY 10019","People say this restaurant offers a unique dining experience with delicious food and stunning views of New York City landmarks. They highlight the memorable and romantic atmosphere, and the attentive and friendly service. They also like the smooth and enjoyable experience from start to finish.",pulsd.com/new-york/promotions/bustronome-fine-dining-bus-tour-nyc
$109: 3 Course Dinner + Murder Mystery Show,109,4.5,18394,Carmine's,"200 W 44th Street, New York, NY 10036","People say this Italian restaurant serves delicious dishes like chicken parm, lasagna, and penne alla vodka. They highlight the generous, family-style portions, making it ideal for large groups, and the classic, old-school Italian atmosphere. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/carmines-dinner-restaurant-nyc
"$99 Chic Afternoon Tea for Two, NoMad",99,4.5,164,Sahola Cafe,"108 E 31st Street, New York, NY 10016","People say this coffee shop offers delicious lattes, cappuccinos, and pastries, including croissants and apple strudel. They highlight the cozy and charming atmosphere, with unique floral decor and a peaceful patio, perfect for reading, working, or meeting up with friends. They also like the friendly and welcoming staff.",pulsd.com/new-york/promotions/sahola-cafe-afternoon-tea-nyc
"$85: 3 Course Dinner For 2 & Cocktails, Wines",85,4.5,790,Yara,"319 E 53rd Street, New York, NY 10022","People say this Mediterranean restaurant serves delicious and authentic Lebanese food, including flavorful filet mignon, mixed grill, and falafel. They highlight the generous portion sizes, fresh ingredients, and the beautiful, modern atmosphere, perfect for large groups and celebrations. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/yara-dinner-restaurant-nyc
$79: 3 Course Dinner For Two + Wine Bottle,79,4.5,526,Alison,"1651 Lexington Avenue, New York, NY 10029","People say this American restaurant serves delicious dishes, including steak, pastries, pizza, and a variety of brunch options. They highlight the good vibes, relaxed atmosphere, and fair prices. They also like the attentive service.",pulsd.com/new-york/promotions/alison-nyc-dinner-restaurant
"$79 3 Course Dinner For Two w Cocktails, Wine",79,4.5,369,Joseph's Restaurant,"3 Hanover Square, New York, NY 10004","People say this Northern Italian restaurant serves delicious hangar steak, tricolori salad, and chicken martini. They highlight the fresh, flavorful, and perfectly prepared food, and the beautiful, quaint, and cozy atmosphere. They also like the attentive, helpful, and friendly service.",pulsd.com/new-york/promotions/josephs-restaurant-dinner-nyc
$79 3 Course Dinner For 2 & Wines/Beers,79,4.5,1937,Farida,"32 Cedar Street, New York City, NY 10005","People say this restaurant serves delicious Uzbek, Kazakh, and Central Asian cuisine, including plov, shashlyk, and manti. They highlight the authentic and flavorful dishes, and the generous portions. They also like the cozy and colorful atmosphere, and the friendly and attentive service.",pulsd.com/new-york/promotions/farida-dinner-restaurant-nyc
$75: 3 Course Dinner For Two & Bottle Of Wine,75,4.5,657,Kaia Restaurant & Wine Bar,"1614 3rd Avenue, New York, NY 10128","People say this wine bar offers a great selection of South African wines and delicious food, including sliders, entrees, and desserts. They highlight the relaxed vibe, perfect for a leisurely drink and/or meal, and the excellent happy hour deals. They also like the friendly and informative service.",pulsd.com/new-york/promotions/best-south-african-restaurant-kaia-nyc
$69 3Crs Dinner For 2 & Cocktails/Wines,69,4.5,288,Old Fashion Cafe,"110 Thompson Street, New York, NY 10012","People say this Italian restaurant serves delicious omelets, avocado toast, and hamburgers. They highlight the cozy and intimate atmosphere, and the good drinks and music. They also like the attentive and efficient service.",pulsd.com/new-york/promotions/old-fashion-cafe-dinner-restaurant-nyc
$59 3 Course Dinner for 2 & Carafe of Wine,59,4.5,1989,Lunella,"173 Mulberry Street, New York, NY 10013","Diners say this Italian restaurant serves up delicious and authentic Italian food, including ravioli, spaghetti and meatballs, and fettuccine Alfredo. They also highlight the friendly and attentive service, and the charming and welcoming atmosphere.

Some reviews mention the staff can be impolite.",pulsd.com/new-york/promotions/lunella-dinner-nyc
$59: 3 Course Dinner For Two & Wine Bottle,59,4.5,1168,CZEN Restaurant,"4410 Avenue H, Brooklyn, NY 11234","People say this Asian fusion restaurant serves delicious oxtail dumplings, sushi rolls, and jerk chicken with udon. They highlight the food is worth the price and the music creates a lively vibe. They also like the attentive and friendly staff.",pulsd.com/new-york/promotions/czen-restaurant-dinner-restaurant-nyc
$49 Dinner For Two With 4 Cocktails,49,4.5,958,Fusion HK,"688 10th Avenue, New York, NY 10019","People say this bar and grill serves delicious ceviche, arroz chaufa, and tacos, and offers a variety of drinks, including margaritas and pisco sours. They highlight the generous portions, good value, and fun vibes with cactus margarita glasses and large drink options. They also like the friendly and attentive staff, and the excellent service.",pulsd.com/new-york/promotions/fusion-hk-hells-kitchen-nyc
$49: 90Min AYCE Tacos & Bottomless Drinks,49,4.5,373,Ms Yoo,"163 Allen Street, New York, NY 10002","People say this cocktail bar offers delicious drinks and tasty food. They highlight the fun and lively vibe, and the friendly, flexible, and attentive staff. They also like the smooth transition from dinner to late-night with a DJ.",pulsd.com/new-york/promotions/ms-yoo-all-you-can-eat-bottomless-taco-thursdays-dinner
$49 2Crs Dinner For 2 + Wines/Beers/Sake,49,4.5,406,The Corner Chinese Restaurant,"698 9th Avenue, New York, NY 10036","People say this Chinese restaurant serves delicious sesame chicken, wonton soup, and eggplant. They also highlight the generous portions, reasonable prices, and clean, cozy atmosphere.

Other reviews mention the food can be overcooked.",pulsd.com/new-york/promotions/the-corner-chinese-restaurant-dinner-nyc
$49 Dinner For Two & A Bottle of Wine,49,4.5,247,Pizzette,"191 Graham Avenue, Brooklyn, NY 11206","People say this Italian restaurant serves delicious pizza, pasta, and house-made burrata. They highlight the fun, bright, and intimate vibe, and the strong, balanced drinks. They also like the friendly and attentive service.",pulsd.com/new-york/promotions/pizzette-dinner-nyc
"$39 3 Course Dinner for Two With Wines, Beers",39,4.5,1341,Bombay Grill House,"764 9th Avenue, New York, NY 10019","People say this Indian restaurant serves delicious chicken tikka masala, naan, and lamb biryani. They highlight the reasonable prices and fun neighborhood. They also like the friendly and attentive staff.",pulsd.com/new-york/promotions/bombay-grill-house-dinner-restaurant-nyc
$39 Dinner For 2 & Bottle Of Wine,39,4.5,188,Kaskade,"123 Greenpoint Avenue, Brooklyn, NY 11222",,pulsd.com/new-york/promotions/kaskade-dinner-nyc
"$29 Dinner For 2 + Wines/Beers, Flatiron",29,4.5,365,Wok In The Clouds,"127 E 28th Street, New York, NY 10016","Diners say this modern Indian restaurant serves up delicious Indo-Chinese fusion dishes, including chili paneer, chicken tikka momos, and pan-fried noodles with veg curry. They also highlight the friendly and efficient service, the reasonable prices, and the great value for money.

Some reviews mention the food can be bland.",pulsd.com/new-york/promotions/wok-in-the-clouds-dinner-restaurant-nyc
40% Off 4 Crs Dinner For Two w Cocktails/Wine,,4.4,1770,Ai Fiori,"400 5th Avenue, New York, NY 10018","People say this restaurant serves delicious food, including lobster bisque, squid ink pasta, and duck. They also highlight the attentive service and nice atmosphere.

Other reviews mention the portions can be small.",pulsd.com/new-york/promotions/ai-fiori-dinner-restaurant-nyc
7Crs Tasting Dinner Experience For 2 & Drinks,,4.4,655,KYU NYC,"324 Lafayette Street , New York, NY 10012,","People say this Asian restaurant serves delicious Korean fried chicken, tuna crispy rice, and short rib. They also highlight the attentive staff, aesthetic bar, and cozy ambiance.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/kyu-tasting-dinner-experience-restaurant-nyc
"15 Crs Omakase For 2 & Cocktails, Wine, Beer",,4.4,248,Shirokuro,"103 2nd Avenue, New York, NY 10003","Diners say this Japanese restaurant serves up delicious omakase, with many raving about the fresh sushi, especially the eel rolls and uni sushi. They also highlight the unique and immersive 2D black-and-white design, making it feel like stepping into a living piece of art.",pulsd.com/new-york/promotions/shirokuro-omakase-dinner-restaurant-nyc
Sauce Revival x Pop Up Grocer,,4.4,127,Pop Up Grocer,"205 Bleecker Street, New York, NY 10012","People say this grocery store offers a variety of unique, local, and new brands, as well as a mini café serving coffee and matcha. They also highlight the fun and interesting products, and the kind and helpful staff.

Other reviews mention the prices can be high.",pulsd.com/pulses/61237
